SEX_label,JWTR_label,SCHL_label,vehicle,PINCP,JWMNP,GRNTP,AGEP
Male,"Car, truck, or van",Master's degree,2,196000,10,0,56
Female,"Car, truck, or van",Master's degree,2,53000,15,0,38
Male,"Car, truck, or van",Master's degree,2,112000,25,0,38
Male,"Car, truck, or van",12th grade - no diploma,1,27200,35,650,74
Male,"Car, truck, or van",Regular high school diploma,2,24000,10,0,57
Male,"Car, truck, or van",Bachelor's degree,4,80000,30,0,64
Female,"Car, truck, or van",Bachelor's degree,4,40000,30,0,60
Male,"Car, truck, or van",Master's degree,3,96800,50,0,69
Female,"Car, truck, or van",Bachelor's degree,3,60000,25,0,62
Male,"Car, truck, or van",Regular high school diploma,2,43600,60,0,69
Female,"Car, truck, or van",Regular high school diploma,2,20000,60,0,60
Male,"Car, truck, or van",Regular high school diploma,3,20200,4,0,74
Female,"Car, truck, or van",Master's degree,3,42600,10,0,76
Male,"Car, truck, or van","Some college, but less than 1 year",1,65000,40,0,48
Male,"Car, truck, or van",Bachelor's degree,4,98000,30,0,45
Female,Walked,"1 or more years of college credit, no degree",4,150000,1,0,42
Male,"Car, truck, or van",Bachelor's degree,4,180000,10,0,45
Male,"Car, truck, or van",Regular high school diploma,4,105000,30,0,47
Female,"Car, truck, or van",Bachelor's degree,4,32500,20,0,27
Male,"Car, truck, or van","1 or more years of college credit, no degree",4,33000,30,0,21
Male,"Car, truck, or van",Master's degree,4,43300,20,0,30
Female,"Car, truck, or van","Some college, but less than 1 year",2,111000,35,0,51
Male,"Car, truck, or van",Master's degree,2,70000,60,1660,24
Female,"Car, truck, or van","1 or more years of college credit, no degree",2,50400,60,1513,34
Male,"Car, truck, or van","1 or more years of college credit, no degree",2,50000,30,1513,26
Female,"Car, truck, or van",Master's degree,2,63000,40,0,57
Male,"Car, truck, or van","1 or more years of college credit, no degree",3,105000,35,0,44
Male,"Car, truck, or van",Associate's degree,3,31840,22,0,64
Female,"Car, truck, or van",Bachelor's degree,3,21200,50,0,52
Male,"Car, truck, or van",Bachelor's degree,2,55300,30,0,25
Male,"Car, truck, or van",Bachelor's degree,2,36000,30,0,22
Female,"Car, truck, or van",Bachelor's degree,3,184050,60,0,49
Male,"Car, truck, or van",Associate's degree,3,74500,15,0,50
Male,"Car, truck, or van",Regular high school diploma,1,37000,5,0,62
Male,"Car, truck, or van",Bachelor's degree,2,155000,50,0,42
Male,"Car, truck, or van",Bachelor's degree,2,60000,35,0,53
Female,"Car, truck, or van",Bachelor's degree,5,8900,45,0,47
Male,"Car, truck, or van",Regular high school diploma,5,90000,30,0,48
Male,"Car, truck, or van",Associate's degree,2,42000,15,0,67
Female,"Car, truck, or van",Regular high school diploma,2,48000,20,0,66
